         12397635 function calls (11959433 primitive calls) in 17.508 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 scale.py:1(<module>)
      864    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
  146/104    0.000    0.000    0.003    0.000 typing.py:347(__getitem__)
        1    0.000    0.000    0.003    0.003 legend.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _misc.py:1(<module>)
        1    0.000    0.000    0.003    0.003 platform.py:3(<module>)
       12    0.000    0.000    0.003    0.000 rcsetup.py:401(validate_font_properties)
        9    0.000    0.000    0.003    0.000 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
     1539    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
        1    0.000    0.000    0.003    0.003 _secondary_axes.py:1(<module>)
      412    0.000    0.000    0.002    0.000 colors.py:218(is_color_like)
        1    0.000    0.000    0.002    0.002 inspect.py:1(<module>)
        1    0.000    0.000    0.002    0.002 subprocess.py:10(<module>)
        1    0.000    0.000    0.002    0.002 reduction.py:10(<module>)
      905    0.001    0.000    0.002    0.000 enum.py:75(__setitem__)
      111    0.000    0.000    0.002    0.000 rcsetup.py:88(f)
        1    0.000    0.000    0.002    0.002 __init__.py:17(<module>)
   273/11    0.000    0.000    0.002    0.000 core.py:809(_parseNoCache)
      461    0.000    0.000    0.002    0.000 core.py:522(copy)
    63/11    0.000    0.000    0.002    0.000 core.py:4034(parseImpl)
        1    0.000    0.000    0.002    0.002 _apply_pyprojecttoml.py:1(<module>)
   133/64    0.000    0.000    0.002    0.000 core.py:3880(copy)
        1    0.000    0.000    0.002    0.002 _matfuncs.py:4(<module>)
        4    0.000    0.000    0.002    0.001 _common.py:1(<module>)
      262    0.000    0.000    0.002    0.000 pathlib.py:1039(__new__)
      157    0.000    0.000    0.002    0.000 abc.py:84(__new__)
        1    0.000    0.000    0.002    0.002 reduction.py:11(<module>)
     6804    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.002    0.002 font_manager.py:1533(_load_fontmanager)
      286    0.000    0.000    0.002    0.000 overrides.py:88(verify_matching_signatures)
      247    0.000    0.000    0.002    0.000 __init__.py:613(joinpath)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
        1    0.000    0.000    0.002    0.002 font_manager.py:965(json_load)
        1    0.000    0.000    0.002    0.002 _internal.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:274(load)
      262    0.000    0.000    0.002    0.000 pathlib.py:678(_from_parts)
      773    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
     1712    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
       18    0.000    0.000    0.002    0.000 {built-in method builtins.eval}
        2    0.000    0.000    0.002    0.001 __init__.py:299(loads)
      462    0.001    0.000    0.002    0.000 copy.py:66(copy)
        2    0.000    0.000    0.002    0.001 decoder.py:332(decode)
        2    0.001    0.000    0.002    0.001 decoder.py:343(raw_decode)
      241    0.000    0.000    0.002    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
        2    0.000    0.000    0.002    0.001 shape_base.py:1(<module>)
     1712    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
    10625    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      274    0.000    0.000    0.002    0.000 pathlib.py:658(_parse_args)
      115    0.000    0.000    0.002    0.000 typing.py:802(__getitem__)
        1    0.000    0.000    0.002    0.002 exceptions.py:3(<module>)
   133/64    0.000    0.000    0.002    0.000 core.py:3883(<listcomp>)
     62/9    0.000    0.000    0.002    0.000 core.py:3788(leave_whitespace)
       10    0.000    0.000    0.002    0.000 util.py:251(_inner)
       35    0.000    0.000    0.002    0.000 rcsetup.py:107(<listcomp>)
     7353    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.002    0.002 _entry_points.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _pep440.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ticker.py:1(<module>)
      996    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.002    0.002 secrets.py:1(<module>)
      438    0.000    0.000    0.002    0.000 colors.py:265(to_rgba)
        1    0.000    0.000    0.002    0.002 PngImagePlugin.py:33(<module>)
     2217    0.001    0.000    0.002    0.000 typing.py:762(__setattr__)
       97    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.002    0.002 _importlib.py:4(disable_importlib_metadata_finder)
      550    0.001    0.000    0.002    0.000 submission.py:302(<listcomp>)
        1    0.000    0.000    0.002    0.002 headerregistry.py:1(<module>)
     1815    0.001    0.000    0.002    0.000 {built-in method builtins.max}
       18    0.000    0.000    0.002    0.000 rcsetup.py:629(cycler)
      101    0.000    0.000    0.002    0.000 deprecation.py:128(deprecate)
       89    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
       79    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
      321    0.000    0.000    0.002    0.000 function_base.py:475(add_newdoc)
        2    0.000    0.000    0.002    0.001 config.py:1(<module>)
        1    0.000    0.000    0.002    0.002 version.py:159(Version)
        3    0.000    0.000    0.002    0.001 abc.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ElementTree.py:6(<module>)
        2    0.000    0.000    0.002    0.001 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.002    0.002 lapack.py:1(<module>)
      334    0.000    0.000    0.002    0.000 sre_parse.py:96(closegroup)
     1324    0.000    0.000    0.002    0.000 re.py:188(match)
      773    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
        1    0.000    0.000    0.002    0.002 spines.py:1(<module>)
        1    0.000    0.000    0.002    0.002 socket.py:4(<module>)
     8295    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      146    0.000    0.000    0.002    0.000 typing.py:689(copy_with)
        1    0.000    0.000    0.002    0.002 _pep440.py:285(Version)
        1    0.000    0.000    0.002    0.002 cli.py:1(<module>)
       79    0.000    0.000    0.002    0.000 typing.py:818(__getitem_inner__)
       89    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
      622    0.000    0.000    0.002    0.000 _inspect.py:96(getargspec)
     2654    0.001    0.000    0.002    0.000 __init__.py:421(_strip_comment)
        1    0.000    0.000    0.002    0.002 cloudpickle.py:1(<module>)
        2    0.002    0.001    0.002    0.001 {resize}
        1    0.000    0.000    0.002    0.002 _version.py:7(<module>)
        1    0.000    0.000    0.002    0.002 _linprog_ip.py:1(<module>)
        1    0.000    0.000    0.002    0.002 defmatrix.py:1(<module>)
      179    0.000    0.000    0.002    0.000 inspect.py:2865(replace)
    22530    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      796    0.001    0.000    0.002    0.000 inspect.py:493(unwrap)
        1    0.000    0.000    0.002    0.002 _minpack_py.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:208(_check_versions)
        1    0.000    0.000    0.001    0.001 setupcfg.py:1(<module>)
      344    0.000    0.000    0.001    0.000 inspect.py:544(_finddoc)
       24    0.001    0.000    0.001    0.000 util.py:186(_collapse_string_to_ranges)
        7    0.000    0.000    0.001    0.000 core.py:2810(__init__)
        1    0.000    0.000    0.001    0.001 _optimize.py:20(<module>)
        1    0.000    0.000    0.001    0.001 axes3d.py:42(Axes3D)
        1    0.000    0.000    0.001    0.001 configparser.py:1(<module>)
        1    0.000    0.000    0.001    0.001 mathtext.py:1(<module>)
